GeneSymbol,FunctionalTermName
'AIM1',cell cycle checkpoint
'APC',cell cycle checkpoint
'ARID3A',cell cycle checkpoint
'ATF2',cell cycle checkpoint
'ATM',cell cycle checkpoint
'ATR',cell cycle checkpoint
'AURKA',cell cycle checkpoint
'AURKB',cell cycle checkpoint
'BABAM1',cell cycle checkpoint
'BACH1',cell cycle checkpoint
'BAX',cell cycle checkpoint
'BCL2L1',cell cycle checkpoint
'BLM',cell cycle checkpoint
'BRCA1',cell cycle checkpoint
'BRCC3',cell cycle checkpoint
'BRE',cell cycle checkpoint
'BRIP1',cell cycle checkpoint
'BRSK1',cell cycle checkpoint
'BTG2',cell cycle checkpoint
'BUB1B',cell cycle checkpoint
'BUB1',cell cycle checkpoint
'BUB3',cell cycle checkpoint
'C5orf45',cell cycle checkpoint
'CARM1',cell cycle checkpoint
'CASP2',cell cycle checkpoint
'CCNB1',cell cycle checkpoint
'CCND1',cell cycle checkpoint
'CCR4',cell cycle checkpoint
'CDC14B',cell cycle checkpoint
'CDC25C',cell cycle checkpoint
'CDC45',cell cycle checkpoint
'CDC5L',cell cycle checkpoint
'CDC6',cell cycle checkpoint
'CDH1',cell cycle checkpoint
'CDK1',cell cycle checkpoint
'CDK2',cell cycle checkpoint
'CDK5RAP3',cell cycle checkpoint
'CDKN1A',cell cycle checkpoint
'CDKN1B',cell cycle checkpoint
'CDKN2B',cell cycle checkpoint
'CDS1',cell cycle checkpoint
'CDT1',cell cycle checkpoint
'CENPF',cell cycle checkpoint
'CENPJ',cell cycle checkpoint
'CEP63',cell cycle checkpoint
'CHEK1',cell cycle checkpoint
'CHEK2',cell cycle checkpoint
'CHFR',cell cycle checkpoint
'CHMP4C',cell cycle checkpoint
'CLOCK',cell cycle checkpoint
'CLSPN',cell cycle checkpoint
'CNOT10',cell cycle checkpoint
'CNOT11',cell cycle checkpoint
'CNOT1',cell cycle checkpoint
'CNOT2',cell cycle checkpoint
'CNOT3',cell cycle checkpoint
'CNOT4',cell cycle checkpoint
'CNOT6L',cell cycle checkpoint
'CNOT6',cell cycle checkpoint
'CNOT7',cell cycle checkpoint
'CNOT8',cell cycle checkpoint
'CRADD',cell cycle checkpoint
'DCLRE1B',cell cycle checkpoint
'DLG1',cell cycle checkpoint
'DNA2L',cell cycle checkpoint
'DONSON',cell cycle checkpoint
'DOT1L',cell cycle checkpoint
'DTL',cell cycle checkpoint
'E2F1',cell cycle checkpoint
'E2F4',cell cycle checkpoint
'E2F7',cell cycle checkpoint
'E2F8',cell cycle checkpoint
'EIF2AK4',cell cycle checkpoint
'EME1',cell cycle checkpoint
'EME2',cell cycle checkpoint
'EP300',cell cycle checkpoint
'FANCI',cell cycle checkpoint
'FBXO31',cell cycle checkpoint
'FBXO6',cell cycle checkpoint
'FOXN3',cell cycle checkpoint
'FOXO4',cell cycle checkpoint
'FZR1',cell cycle checkpoint
'GADD45A',cell cycle checkpoint
'GIGYF2',cell cycle checkpoint
'GML',cell cycle checkpoint
'GTSE1',cell cycle checkpoint
'H2AFX',cell cycle checkpoint
'HINFP',cell cycle checkpoint
'HMGA2',cell cycle checkpoint
'HORMAD1',cell cycle checkpoint
'HRAS',cell cycle checkpoint
'HUS1B',cell cycle checkpoint
'HUS1',cell cycle checkpoint
'IK',cell cycle checkpoint
'INTS3',cell cycle checkpoint
'INTS7',cell cycle checkpoint
'KLHL22',cell cycle checkpoint
'KNTC1',cell cycle checkpoint
'MAD1L1',cell cycle checkpoint
'MAD2L1BP',cell cycle checkpoint
'MAD2L1',cell cycle checkpoint
'MAD2L2',cell cycle checkpoint
'MAPK14',cell cycle checkpoint
'MDC1',cell cycle checkpoint
'MDM2',cell cycle checkpoint
'MDM4',cell cycle checkpoint
'MRE11A',cell cycle checkpoint
'MSH2',cell cycle checkpoint
'MUC1',cell cycle checkpoint
'MUS81',cell cycle checkpoint
'NABP1',cell cycle checkpoint
'NABP2',cell cycle checkpoint
'NAE1',cell cycle checkpoint
'NBN',cell cycle checkpoint
'NEK11',cell cycle checkpoint
'NPM1',cell cycle checkpoint
'NSUN2',cell cycle checkpoint
'ORAOV1',cell cycle checkpoint
'PCBP4',cell cycle checkpoint
'PCNA',cell cycle checkpoint
'PEA15',cell cycle checkpoint
'PIDD1',cell cycle checkpoint
'PLAGL1',cell cycle checkpoint
'PLK1',cell cycle checkpoint
'PLK2',cell cycle checkpoint
'PLK3',cell cycle checkpoint
'PML',cell cycle checkpoint
'PRCC',cell cycle checkpoint
'PRKDC',cell cycle checkpoint
'PRMT1',cell cycle checkpoint
'PRPF19',cell cycle checkpoint
'PSMG2',cell cycle checkpoint
'PTPN11',cell cycle checkpoint
'RAD17',cell cycle checkpoint
'RAD1',cell cycle checkpoint
'RAD9A',cell cycle checkpoint
'RAD9B',cell cycle checkpoint
'RB1',cell cycle checkpoint
'RBBP8',cell cycle checkpoint
'RBL2',cell cycle checkpoint
'RFWD3',cell cycle checkpoint
'RGCC',cell cycle checkpoint
'RPA2',cell cycle checkpoint
'RPA4',cell cycle checkpoint
'RPL26',cell cycle checkpoint
'RPS27A',cell cycle checkpoint
'RPS27L',cell cycle checkpoint
'RPS6',cell cycle checkpoint
'RQCD1',cell cycle checkpoint
'SETMAR',cell cycle checkpoint
'SFN',cell cycle checkpoint
'SOX11',cell cycle checkpoint
'SOX4',cell cycle checkpoint
'SPDL1',cell cycle checkpoint
'SYF2',cell cycle checkpoint
'TAOK1',cell cycle checkpoint
'TAOK2',cell cycle checkpoint
'TAOK3',cell cycle checkpoint
'TEX14',cell cycle checkpoint
'TFDP1',cell cycle checkpoint
'TFDP2',cell cycle checkpoint
'TGFB1',cell cycle checkpoint
'TICRR',cell cycle checkpoint
'TIPIN',cell cycle checkpoint
'TIPRL',cell cycle checkpoint
'TNKS1BP1',cell cycle checkpoint
'TOP2A',cell cycle checkpoint
'TOP2B',cell cycle checkpoint
'TOPBP1',cell cycle checkpoint
'TP53BP1',cell cycle checkpoint
'TP53',cell cycle checkpoint
'TP63',cell cycle checkpoint
'TP73',cell cycle checkpoint
'TPR',cell cycle checkpoint
'TRIAP1',cell cycle checkpoint
'TRIP13',cell cycle checkpoint
'TTK',cell cycle checkpoint
'UBA52',cell cycle checkpoint
'UBB',cell cycle checkpoint
'UBC',cell cycle checkpoint
'UIMC1',cell cycle checkpoint
'USP17L2',cell cycle checkpoint
'USP28',cell cycle checkpoint
'VPS4A',cell cycle checkpoint
'WAC',cell cycle checkpoint
'WNT9A',cell cycle checkpoint
'XPC',cell cycle checkpoint
'ZAK',cell cycle checkpoint
'ZFYVE19',cell cycle checkpoint
'ZNF207',cell cycle checkpoint
'ZNF385A',cell cycle checkpoint
'ZNF830',cell cycle checkpoint
'ZW10',cell cycle checkpoint
'ZWILCH',cell cycle checkpoint
'ZWINT',cell cycle checkpoint